Country_code,Country_name,ISO_Alpha3,Year,Cause_Group,Sex,Total_deaths
1300,Mauritius,MUS,2018,D,1,65
1300,Mauritius,MUS,2018,D,2,84
1300,Mauritius,MUS,2018,E,1,1198
1300,Mauritius,MUS,2018,E,2,1089
1300,Mauritius,MUS,2018,F,1,76
1300,Mauritius,MUS,2018,F,2,6
1300,Mauritius,MUS,2018,G,1,102
1300,Mauritius,MUS,2018,G,2,53
1300,Mauritius,MUS,2018,I,1,2047
1300,Mauritius,MUS,2018,I,2,1756
1300,Mauritius,MUS,2018,J,1,691
1300,Mauritius,MUS,2018,J,2,560
1300,Mauritius,MUS,2018,K,1,248
1300,Mauritius,MUS,2018,K,2,113
1300,Mauritius,MUS,2018,L,1,28
1300,Mauritius,MUS,2018,L,2,32
1300,Mauritius,MUS,2018,M,1,2
1300,Mauritius,MUS,2018,M,2,14
1300,Mauritius,MUS,2018,N,1,99
1300,Mauritius,MUS,2018,N,2,93
1300,Mauritius,MUS,2018,O,2,5
1300,Mauritius,MUS,2018,P,1,62
1300,Mauritius,MUS,2018,P,2,55
1300,Mauritius,MUS,2018,Q,1,26
1300,Mauritius,MUS,2018,Q,2,15
1300,Mauritius,MUS,2018,R,1,55
1300,Mauritius,MUS,2018,R,2,100
1300,Mauritius,MUS,2018,V,1,138
1300,Mauritius,MUS,2018,V,2,31
1300,Mauritius,MUS,2018,W,1,111
1300,Mauritius,MUS,2018,W,2,17
1300,Mauritius,MUS,2018,X,1,116
1300,Mauritius,MUS,2018,X,2,53
1300,Mauritius,MUS,2018,Y,1,53
1300,Mauritius,MUS,2018,Y,2,27
1300,Mauritius,MUS,2019,A,1,6206
1300,Mauritius,MUS,2019,A,2,5123
1300,Mauritius,MUS,2019,B,1,126
1300,Mauritius,MUS,2019,B,2,33
1300,Mauritius,MUS,2019,C,1,693
1300,Mauritius,MUS,2019,C,2,714
1300,Mauritius,MUS,2019,D,1,71
1300,Mauritius,MUS,2019,D,2,66
1300,Mauritius,MUS,2019,E,1,1302
1300,Mauritius,MUS,2019,E,2,1225
1300,Mauritius,MUS,2019,F,1,88
1300,Mauritius,MUS,2019,F,2,11
1300,Mauritius,MUS,2019,G,1,117
1300,Mauritius,MUS,2019,G,2,53
1300,Mauritius,MUS,2019,I,1,1889
1300,Mauritius,MUS,2019,I,2,1644
1300,Mauritius,MUS,2019,J,1,739
1300,Mauritius,MUS,2019,J,2,674
1300,Mauritius,MUS,2019,K,1,290
1300,Mauritius,MUS,2019,K,2,132
1300,Mauritius,MUS,2019,L,1,24
1300,Mauritius,MUS,2019,L,2,37
1300,Mauritius,MUS,2019,M,1,3
1300,Mauritius,MUS,2019,M,2,16
1300,Mauritius,MUS,2019,N,1,108
1300,Mauritius,MUS,2019,N,2,96
1300,Mauritius,MUS,2019,O,2,8
1300,Mauritius,MUS,2019,P,1,64
1300,Mauritius,MUS,2019,P,2,58
1300,Mauritius,MUS,2019,Q,1,33
1300,Mauritius,MUS,2019,Q,2,23
1300,Mauritius,MUS,2019,R,1,78
1300,Mauritius,MUS,2019,R,2,86
1300,Mauritius,MUS,2019,V,1,146
1300,Mauritius,MUS,2019,V,2,23
1300,Mauritius,MUS,2019,W,1,91
1300,Mauritius,MUS,2019,W,2,18
1300,Mauritius,MUS,2019,X,1,143
1300,Mauritius,MUS,2019,X,2,36
1300,Mauritius,MUS,2019,Y,1,37
1300,Mauritius,MUS,2019,Y,2,24
1300,Mauritius,MUS,2020,A,1,6269
1300,Mauritius,MUS,2020,A,2,4935
1300,Mauritius,MUS,2020,B,1,127
1300,Mauritius,MUS,2020,B,2,41
1300,Mauritius,MUS,2020,C,1,668
1300,Mauritius,MUS,2020,C,2,742
1300,Mauritius,MUS,2020,D,1,48
1300,Mauritius,MUS,2020,D,2,50
1300,Mauritius,MUS,2020,E,1,1256
1300,Mauritius,MUS,2020,E,2,1136
1300,Mauritius,MUS,2020,F,1,111
1300,Mauritius,MUS,2020,F,2,14
1300,Mauritius,MUS,2020,G,1,74
1300,Mauritius,MUS,2020,G,2,53
1300,Mauritius,MUS,2020,I,1,1827
1300,Mauritius,MUS,2020,I,2,1475
1300,Mauritius,MUS,2020,J,1,671
1300,Mauritius,MUS,2020,J,2,535
1300,Mauritius,MUS,2020,K,1,354
1300,Mauritius,MUS,2020,K,2,137
1300,Mauritius,MUS,2020,L,1,34
1300,Mauritius,MUS,2020,L,2,40
1300,Mauritius,MUS,2020,M,1,12
1300,Mauritius,MUS,2020,M,2,21
1300,Mauritius,MUS,2020,N,1,143
1300,Mauritius,MUS,2020,N,2,106
1300,Mauritius,MUS,2020,O,2,8
1300,Mauritius,MUS,2020,P,1,81
1300,Mauritius,MUS,2020,P,2,54
1300,Mauritius,MUS,2020,Q,1,36
1300,Mauritius,MUS,2020,Q,2,23
1300,Mauritius,MUS,2020,R,1,246
1300,Mauritius,MUS,2020,R,2,274
1300,Mauritius,MUS,2020,U,1,9
1300,Mauritius,MUS,2020,U,2,1
1300,Mauritius,MUS,2020,V,1,129
1300,Mauritius,MUS,2020,V,2,21
1300,Mauritius,MUS,2020,W,1,72
